Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  0.9549,  0.9119,  0.9549,  0.9119,  0.4775,  0.2280
   11,  0.0550, -0.0000,  0.0000,  0.9549,  0.9119,  0.9549,  0.9119,  0.4775,  0.2280
   21,  0.1050, -0.0000,  0.0000,  0.9549,  0.9119,  0.9549,  0.9119,  0.4773,  0.2278
   31,  0.1550, -0.0000,  0.0000,  0.9547,  0.9114,  0.8987,  0.8077,  0.0098,  0.0001
   41,  0.2050,  0.0000, -0.0000,  0.9550,  0.9121,  0.7349,  0.5400, -0.9817,  0.9638
   51,  0.2550, -0.0000, -0.0000,  0.9548,  0.9116,  0.8254,  0.6813, -0.5560,  0.3091
   61,  0.3050,  0.0000, -0.0000,  0.9548,  0.9117,  0.8814,  0.7769, -0.1624,  0.0264
   71,  0.3550, -0.0000, -0.0000,  0.9549,  0.9118,  0.8509,  0.7241, -0.3198,  0.1023
   81,  0.4050,  0.0000, -0.0000,  0.9548,  0.9117,  0.8416,  0.7082, -0.3868,  0.1497
   91,  0.4550, -0.0000, -0.0000,  0.9549,  0.9118,  0.8543,  0.7298, -0.3128,  0.0979
