Velocity distribution attitude
  0.0006,  0.0025,  0.0050,  0.0037,  0.0075,  0.0138,  0.0150,  0.0106,  0.0163,  0.0175,  0.0187,  0.0231,  0.0194,  0.0275,  0.0256,  0.0225,  0.0244,  0.0262,  0.0281,  0.0231,  0.0200,  0.0250,  0.0231,  0.0269,  0.0262,  0.0319,  0.0225,  0.0275,  0.0281,  0.0206,  0.0238,  0.0219,  0.0206,  0.0219,  0.0319,  0.0238,  0.0169,  0.0144,  0.0200,  0.0138,  0.0144,  0.0131,  0.0119,  0.0206,  0.0119,  0.0088,  0.0112,  0.0063,  0.0100,  0.1000,
---
  1.0000,  4.0000,  8.0000,  4.0000,  9.0000, 14.0000, 17.0000, 11.0000, 17.0000, 20.0000, 25.0000, 28.0000, 22.0000, 36.0000, 33.0000, 30.0000, 30.0000, 32.0000, 35.0000, 28.0000, 29.0000, 29.0000, 32.0000, 33.0000, 30.0000, 34.0000, 29.0000, 33.0000, 32.0000, 26.0000, 33.0000, 22.0000, 24.0000, 26.0000, 37.0000, 26.0000, 20.0000, 19.0000, 18.0000, 17.0000, 16.0000, 14.0000, 14.0000, 20.0000, 15.0000, 13.0000, 12.0000,  8.0000, 14.0000,121.0000,
---
  1.0000,  3.0000,  7.0000,  3.0000,  7.0000, 11.0000,  9.0000,  8.0000, 13.0000, 13.0000, 15.0000, 20.0000, 15.0000, 27.0000, 28.0000, 14.0000, 22.0000, 20.0000, 27.0000, 13.0000, 20.0000, 17.0000, 25.0000, 22.0000, 21.0000, 27.0000, 21.0000, 25.0000, 23.0000, 14.0000, 19.0000, 11.0000, 17.0000, 19.0000, 28.0000, 17.0000, 15.0000, 11.0000,  9.0000,  9.0000, 11.0000,  4.0000,  8.0000, 14.0000,  7.0000, 10.0000,  6.0000,  8.0000,  8.0000, 78.0000,
---
  1.0000,  2.0000,  4.0000,  1.0000,  2.0000,  6.0000,  3.0000,  3.0000,  7.0000,  8.0000,  6.0000, 13.0000,  9.0000, 12.0000, 16.0000,  9.0000,  7.0000,  9.0000, 10.0000,  7.0000, 11.0000,  8.0000, 15.0000, 13.0000,  7.0000, 11.0000,  7.0000,  9.0000, 10.0000,  9.0000, 11.0000,  6.0000,  6.0000,  9.0000, 17.0000,  6.0000, 10.0000,  5.0000,  4.0000,  4.0000,  8.0000,  2.0000,  5.0000, 11.0000,  4.0000,  6.0000,  1.0000,  4.0000,  6.0000, 40.0000,
---
  0.0013,  0.0025,  0.0075,  0.0100,  0.0150,  0.0119,  0.0194,  0.0175,  0.0175,  0.0250,  0.0256,  0.0262,  0.0275,  0.0281,  0.0250,  0.0306,  0.0375,  0.0306,  0.0288,  0.0338,  0.0262,  0.0350,  0.0300,  0.0294,  0.0244,  0.0275,  0.0275,  0.0238,  0.0294,  0.0262,  0.0181,  0.0206,  0.0194,  0.0181,  0.0238,  0.0150,  0.0206,  0.0138,  0.0112,  0.0131,  0.0119,  0.0125,  0.0106,  0.0112,  0.0075,  0.0044,  0.0050,  0.0050,  0.0031,  0.0544,
---
  2.0000,  3.0000,  7.0000, 15.0000, 20.0000, 16.0000, 25.0000, 22.0000, 20.0000, 33.0000, 32.0000, 33.0000, 38.0000, 37.0000, 34.0000, 38.0000, 46.0000, 34.0000, 34.0000, 44.0000, 32.0000, 41.0000, 40.0000, 35.0000, 29.0000, 32.0000, 40.0000, 23.0000, 37.0000, 27.0000, 21.0000, 28.0000, 21.0000, 22.0000, 25.0000, 16.0000, 21.0000, 16.0000, 11.0000, 17.0000, 16.0000, 11.0000, 12.0000, 11.0000,  8.0000,  5.0000,  4.0000,  5.0000,  4.0000, 57.0000,
---
  1.0000,  2.0000,  6.0000, 10.0000, 16.0000, 11.0000, 16.0000, 15.0000, 15.0000, 25.0000, 18.0000, 29.0000, 29.0000, 25.0000, 24.0000, 24.0000, 38.0000, 26.0000, 28.0000, 31.0000, 22.0000, 31.0000, 27.0000, 23.0000, 17.0000, 23.0000, 25.0000, 15.0000, 23.0000, 15.0000, 12.0000, 16.0000, 12.0000, 12.0000, 19.0000, 10.0000, 18.0000, 11.0000,  8.0000,  8.0000, 12.0000,  6.0000, 10.0000,  7.0000,  4.0000,  3.0000,  4.0000,  4.0000,  0.0000, 14.0000,
---
  0.0000,  1.0000,  5.0000,  6.0000,  9.0000,  5.0000, 10.0000,  7.0000, 11.0000, 21.0000, 14.0000, 13.0000, 18.0000, 18.0000, 11.0000, 13.0000, 22.0000, 17.0000, 14.0000, 20.0000, 12.0000, 20.0000, 14.0000,  8.0000, 11.0000, 12.0000, 12.0000,  8.0000,  9.0000,  6.0000,  5.0000,  8.0000,  2.0000,  5.0000,  9.0000,  5.0000,  6.0000,  1.0000,  2.0000,  3.0000,  2.0000,  0.0000,  2.0000,  2.0000,  0.0000,  0.0000,  1.0000,  0.0000,  0.0000,  0.0000,
---
