Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000, -0.0000,  6.5017, 42.2720,  0.9315,  0.8677,-57.7118,3330.6463
    2,  0.0100, -0.0000, -0.0000,  6.5038, 42.2997,  0.8087,  0.6540,-58.7659,3453.4356
    3,  0.0150, -0.0000, -0.0000,  6.5069, 42.3400,  0.6422,  0.4124,-60.1949,3623.4277
    4,  0.0200, -0.0000, -0.0000,  6.5101, 42.3808,  0.4804,  0.2308,-61.5805,3792.1543
    5,  0.0250, -0.0000, -0.0000,  6.5119, 42.4051,  0.3712,  0.1378,-62.5104,3907.5456
    6,  0.0300, -0.0000, -0.0000,  6.5117, 42.4019,  0.3426,  0.1174,-62.7418,3936.5342
    7,  0.0350, -0.0000, -0.0000,  6.5096, 42.3743,  0.3912,  0.1530,-62.3058,3882.0133
    8,  0.0400, -0.0000, -0.0000,  6.5068, 42.3379,  0.4855,  0.2357,-61.4751,3779.1858
    9,  0.0450, -0.0000, -0.0000,  6.5045, 42.3089,  0.5830,  0.3399,-60.6180,3674.5398
   10,  0.0500, -0.0000, -0.0000,  6.5036, 42.2964,  0.6486,  0.4207,-60.0370,3604.4357
   11,  0.0550, -0.0000, -0.0000,  6.5039, 42.3011,  0.6661,  0.4436,-59.8713,3584.5673
   12,  0.0600, -0.0000, -0.0000,  6.5053, 42.3185,  0.6400,  0.4096,-60.0810,3609.7255
   13,  0.0650, -0.0000, -0.0000,  6.5070, 42.3408,  0.5906,  0.3488,-60.4920,3659.2845
   14,  0.0700, -0.0000, -0.0000,  6.5084, 42.3593,  0.5442,  0.2961,-60.8763,3705.9266
   15,  0.0750, -0.0000, -0.0000,  6.5090, 42.3669,  0.5227,  0.2732,-61.0435,3726.3081
   16,  0.0800, -0.0000, -0.0000,  6.5086, 42.3617,  0.5355,  0.2868,-60.9124,3710.3168
   17,  0.0850, -0.0000,  0.0000,  6.5075, 42.3480,  0.5769,  0.3329,-60.5306,3663.9503
   18,  0.0900, -0.0000,  0.0000,  6.5064, 42.3332,  0.6313,  0.3985,-60.0339,3604.0680
   19,  0.0950, -0.0000, -0.0000,  6.5057, 42.3239,  0.6811,  0.4639,-59.5728,3548.9136
   20,  0.1000, -0.0000,  0.0000,  6.5056, 42.3229,  0.7149,  0.5110,-59.2463,3510.1291
   21,  0.1050, -0.0000, -0.0000,  6.5061, 42.3293,  0.7307,  0.5340,-59.0728,3489.5947
   22,  0.1100, -0.0000, -0.0000,  6.5069, 42.3396,  0.7358,  0.5414,-58.9913,3479.9746
   23,  0.1150, -0.0000, -0.0000,  6.5076, 42.3490,  0.7419,  0.5504,-58.8998,3469.1830
   24,  0.1200, -0.0000, -0.0000,  6.5080, 42.3536,  0.7600,  0.5777,-58.7041,3446.1671
   25,  0.1250, -0.0000, -0.0000,  0.2603,  1.2753,  0.0318,  0.1559, -2.3342, 11.4352
   26,  0.1300, -0.0000,  0.0000,  6.5074, 42.3463,  0.8474,  0.7181,-57.8647,3348.3196
