Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000,  0.0000,  1.0747,  1.1549,  1.0747,  1.1549,  0.5373,  0.2887
   11,  0.0550,  0.0000,  0.0000,  1.0747,  1.1549,  1.0747,  1.1549,  0.5373,  0.2887
   21,  0.1050,  0.0000,  0.0000,  1.0747,  1.1549,  1.0747,  1.1549,  0.5373,  0.2887
   31,  0.1550, -0.0000,  0.0000,  1.0745,  1.1546,  1.0653,  1.1349,  0.3885,  0.1510
   41,  0.2050,  0.0000,  0.0000,  1.0746,  1.1548,  0.9397,  0.8830, -0.5065,  0.2566
   51,  0.2550,  0.0000,  0.0000,  1.0747,  1.1549,  0.8411,  0.7074, -1.1198,  1.2539
   61,  0.3050,  0.0000,  0.0000,  1.0744,  1.1543,  0.9257,  0.8569, -0.6834,  0.4671
   71,  0.3550, -0.0000,  0.0000,  1.0746,  1.1549,  0.9163,  0.8395, -0.6713,  0.4506
   81,  0.4050, -0.0000,  0.0000,  1.0744,  1.1544,  0.9468,  0.8964, -0.5001,  0.2501
   91,  0.4550, -0.0000,  0.0000,  1.0748,  1.1552,  0.8590,  0.7378, -0.9221,  0.8502
  101,  0.5050, -0.0000,  0.0000,  1.0742,  1.1538,  0.9502,  0.9029, -0.4377,  0.1916
  111,  0.5550, -0.0000,  0.0000,  1.0745,  1.1546,  0.9117,  0.8313, -0.5668,  0.3213
  121,  0.6050, -0.0000,  0.0000,  1.0745,  1.1546,  0.9638,  0.9288, -0.2949,  0.0870
  131,  0.6550, -0.0000, -0.0000,  1.0745,  1.1546,  0.9137,  0.8349, -0.5333,  0.2844
  141,  0.7050, -0.0000,  0.0000,  1.0742,  1.1539,  0.9578,  0.9174, -0.3399,  0.1155
  151,  0.7550, -0.0000,  0.0000,  1.0748,  1.1552,  0.9194,  0.8453, -0.5053,  0.2553
  161,  0.8050, -0.0000,  0.0000,  1.0742,  1.1540,  1.0009,  1.0018, -0.1762,  0.0310
  171,  0.8550, -0.0000,  0.0000,  1.0748,  1.1552,  0.8478,  0.7187, -0.9301,  0.8650
  181,  0.9050, -0.0000,  0.0000,  1.0742,  1.1540,  0.9221,  0.8503, -0.6576,  0.4325
  191,  0.9550, -0.0000,  0.0000,  1.0750,  1.1556,  0.7343,  0.5392, -1.5297,  2.3399
