Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
   55,  0.2750,  0.0000,  0.0000,  0.9830,  0.9664,  0.8761,  0.7676, -0.4078,  0.1663
   56,  0.2800,  0.0000,  0.0000,  0.9831,  0.9664,  0.8805,  0.7752, -0.3780,  0.1429
   57,  0.2850,  0.0000,  0.0000,  0.9831,  0.9664,  0.8842,  0.7817, -0.3530,  0.1246
   58,  0.2900,  0.0000,  0.0000,  0.9831,  0.9664,  0.8872,  0.7872, -0.3312,  0.1097
   59,  0.2950,  0.0000,  0.0000,  0.9831,  0.9664,  0.8897,  0.7915, -0.3132,  0.0981
   60,  0.3000,  0.0000,  0.0000,  0.9831,  0.9664,  0.8915,  0.7948, -0.2992,  0.0895
   61,  0.3050,  0.0000,  0.0000,  0.9831,  0.9664,  0.8927,  0.7969, -0.2894,  0.0838
   62,  0.3100,  0.0000,  0.0000,  0.9830,  0.9664,  0.8932,  0.7979, -0.2853,  0.0814
   63,  0.3150,  0.0000,  0.0000,  0.9830,  0.9664,  0.8929,  0.7973, -0.2857,  0.0816
   64,  0.3200,  0.0000,  0.0000,  0.9830,  0.9664,  0.8917,  0.7951, -0.2909,  0.0846
   65,  0.3250,  0.0000,  0.0000,  0.9830,  0.9664,  0.8895,  0.7912, -0.3000,  0.0900
   66,  0.3300,  0.0000,  0.0000,  0.9830,  0.9664,  0.8865,  0.7859, -0.3137,  0.0984
   67,  0.3350,  0.0000,  0.0000,  0.9831,  0.9664,  0.8829,  0.7795, -0.3317,  0.1100
   68,  0.3400,  0.0000,  0.0000,  0.9831,  0.9664,  0.8789,  0.7724, -0.3525,  0.1242
   69,  0.3450,  0.0000,  0.0000,  0.9831,  0.9664,  0.8746,  0.7649, -0.3754,  0.1409
   70,  0.3500,  0.0000,  0.0000,  0.9831,  0.9664,  0.8702,  0.7573, -0.3977,  0.1582
   71,  0.3550,  0.0000,  0.0000,  0.9831,  0.9665,  0.8660,  0.7500, -0.4196,  0.1761
   72,  0.3600,  0.0000,  0.0000,  0.9831,  0.9665,  0.8622,  0.7433, -0.4398,  0.1934
   73,  0.3650,  0.0000,  0.0000,  0.9831,  0.9665,  0.8589,  0.7377, -0.4567,  0.2086
   74,  0.3700,  0.0000,  0.0000,  0.9831,  0.9665,  0.8565,  0.7337, -0.4694,  0.2204
   75,  0.3750,  0.0000,  0.0000,  0.0393,  0.1927,  0.0342,  0.1676, -0.0191,  0.0936
   76,  0.3800,  0.0000,  0.0000,  0.9831,  0.9665,  0.8550,  0.7310, -0.4813,  0.2316
   77,  0.3850,  0.0000,  0.0000,  0.9831,  0.9665,  0.8558,  0.7324, -0.4795,  0.2299
   78,  0.3900,  0.0000,  0.0000,  0.9831,  0.9665,  0.8574,  0.7352, -0.4737,  0.2244
   79,  0.3950,  0.0000,  0.0000,  0.9831,  0.9664,  0.8596,  0.7389, -0.4663,  0.2175
   80,  0.4000,  0.0000,  0.0000,  0.9830,  0.9663,  0.8617,  0.7426, -0.4592,  0.2108
   81,  0.4050,  0.0000,  0.0000,  0.9830,  0.9663,  0.8636,  0.7458, -0.4520,  0.2043
   82,  0.4100,  0.0000,  0.0000,  0.9830,  0.9663,  0.8648,  0.7479, -0.4466,  0.1995
   83,  0.4150,  0.0000,  0.0000,  0.9830,  0.9663,  0.8652,  0.7486, -0.4471,  0.1999
   84,  0.4200,  0.0000,  0.0000,  0.9830,  0.9663,  0.8646,  0.7475, -0.4522,  0.2045
   85,  0.4250,  0.0000,  0.0000,  0.9830,  0.9663,  0.8630,  0.7447, -0.4621,  0.2135
   86,  0.4300,  0.0000,  0.0000,  0.9830,  0.9663,  0.8603,  0.7402, -0.4780,  0.2285
   87,  0.4350,  0.0000,  0.0000,  0.9830,  0.9663,  0.8568,  0.7341, -0.4985,  0.2485
   88,  0.4400,  0.0000,  0.0000,  0.9830,  0.9663,  0.8525,  0.7268, -0.5218,  0.2723
   89,  0.4450,  0.0000,  0.0000,  0.9830,  0.9664,  0.8480,  0.7191, -0.5461,  0.2982
   90,  0.4500,  0.0000,  0.0000,  0.9831,  0.9664,  0.8435,  0.7114, -0.5688,  0.3236
   91,  0.4550,  0.0000,  0.0000,  0.9831,  0.9665,  0.8395,  0.7047, -0.5883,  0.3460
   92,  0.4600,  0.0000,  0.0000,  0.9831,  0.9665,  0.8363,  0.6994, -0.6037,  0.3645
   93,  0.4650,  0.0000,  0.0000,  0.9831,  0.9665,  0.8343,  0.6960, -0.6143,  0.3774
   94,  0.4700,  0.0000,  0.0000,  0.9831,  0.9665,  0.8335,  0.6947, -0.6201,  0.3845
   95,  0.4750,  0.0000,  0.0000,  0.9831,  0.9665,  0.8339,  0.6954, -0.6207,  0.3853
   96,  0.4800,  0.0000,  0.0000,  0.9831,  0.9665,  0.8355,  0.6980, -0.6158,  0.3792
   97,  0.4850,  0.0000,  0.0000,  0.9831,  0.9664,  0.8380,  0.7022, -0.6043,  0.3652
   98,  0.4900,  0.0000,  0.0000,  0.9831,  0.9664,  0.8411,  0.7075, -0.5887,  0.3466
