Velocity distribution attitude
  0.0006,  0.0025,  0.0081,  0.0169,  0.0163,  0.0194,  0.0187,  0.0225,  0.0306,  0.0219,  0.0306,  0.0381,  0.0400,  0.0400,  0.0400,  0.0256,  0.0306,  0.0413,  0.0325,  0.0381,  0.0331,  0.0356,  0.0369,  0.0450,  0.0475,  0.0306,  0.0331,  0.0294,  0.0194,  0.0231,  0.0206,  0.0225,  0.0206,  0.0075,  0.0156,  0.0081,  0.0106,  0.0100,  0.0100,  0.0081,  0.0025,  0.0037,  0.0050,  0.0000,  0.0031,  0.0013,  0.0013,  0.0006,  0.0000,  0.0006,
---
  1.0000,  4.0000, 10.0000, 19.0000, 20.0000, 24.0000, 20.0000, 22.0000, 41.0000, 26.0000, 34.0000, 47.0000, 45.0000, 47.0000, 48.0000, 30.0000, 38.0000, 50.0000, 43.0000, 40.0000, 39.0000, 44.0000, 46.0000, 59.0000, 60.0000, 38.0000, 40.0000, 40.0000, 26.0000, 27.0000, 24.0000, 26.0000, 27.0000, 11.0000, 17.0000,  8.0000, 10.0000,  7.0000, 12.0000, 11.0000,  2.0000,  4.0000,  6.0000,  0.0000,  5.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,
---
  1.0000,  4.0000,  8.0000, 11.0000, 13.0000, 14.0000,  9.0000, 14.0000, 29.0000, 14.0000, 23.0000, 34.0000, 30.0000, 38.0000, 27.0000, 19.0000, 26.0000, 38.0000, 24.0000, 24.0000, 24.0000, 31.0000, 32.0000, 40.0000, 41.0000, 24.0000, 30.0000, 27.0000, 17.0000, 18.0000, 18.0000, 17.0000, 19.0000,  7.0000, 10.0000,  6.0000,  8.0000,  4.0000,  7.0000,  8.0000,  2.0000,  1.0000,  4.0000,  0.0000,  3.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,
---
  1.0000,  1.0000,  2.0000,  4.0000,  4.0000,  7.0000,  4.0000,  3.0000, 17.0000,  7.0000, 14.0000, 19.0000, 13.0000, 16.0000, 13.0000,  9.0000, 18.0000, 19.0000, 12.0000, 12.0000, 16.0000, 15.0000, 18.0000, 22.0000, 22.0000, 10.0000, 16.0000, 12.0000,  9.0000,  7.0000, 12.0000,  7.0000, 10.0000,  4.0000,  3.0000,  4.0000,  5.0000,  1.0000,  3.0000,  3.0000,  2.0000,  1.0000,  1.0000,  0.0000,  1.0000,  0.0000,  1.0000,  0.0000,  0.0000,  0.0000,
---
  0.0013,  0.0013,  0.0019,  0.0088,  0.0069,  0.0112,  0.0125,  0.0213,  0.0194,  0.0206,  0.0169,  0.0169,  0.0338,  0.0306,  0.0206,  0.0262,  0.0469,  0.0394,  0.0281,  0.0419,  0.0488,  0.0500,  0.0481,  0.0838,  0.0638,  0.0475,  0.0512,  0.0319,  0.0362,  0.0325,  0.0163,  0.0275,  0.0200,  0.0169,  0.0069,  0.0050,  0.0031,  0.0031,  0.0006,  0.0006,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  2.0000,  1.0000,  3.0000,  9.0000,  7.0000, 13.0000, 13.0000, 24.0000, 19.0000, 23.0000, 21.0000, 19.0000, 36.0000, 32.0000, 18.0000, 29.0000, 62.0000, 38.0000, 34.0000, 52.0000, 64.0000, 65.0000, 67.0000,109.0000, 83.0000, 55.0000, 63.0000, 42.0000, 42.0000, 41.0000, 17.0000, 34.0000, 27.0000, 20.0000,  8.0000,  6.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  2.0000,  0.0000,  1.0000,  4.0000,  3.0000,  8.0000,  7.0000, 14.0000, 11.0000, 12.0000, 16.0000, 12.0000, 25.0000, 18.0000,  9.0000, 20.0000, 40.0000, 19.0000, 21.0000, 32.0000, 50.0000, 46.0000, 43.0000, 84.0000, 58.0000, 44.0000, 44.0000, 28.0000, 25.0000, 31.0000, 13.0000, 19.0000, 23.0000, 12.0000,  4.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  0.0000,  0.0000,  0.0000,  1.0000,  1.0000,  3.0000,  1.0000,  5.0000,  6.0000,  2.0000,  8.0000,  4.0000, 11.0000,  8.0000,  2.0000,  6.0000, 17.0000,  9.0000, 12.0000, 12.0000, 21.0000, 24.0000, 22.0000, 54.0000, 33.0000, 23.0000, 27.0000, 14.0000, 14.0000, 19.0000,  8.0000, 13.0000, 14.0000,  6.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
