Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  0.9720,  0.9449,  0.9720,  0.9449,  0.4860,  0.2362
   11,  0.0550, -0.0000,  0.0000,  0.9720,  0.9449,  0.9720,  0.9449,  0.4860,  0.2362
   21,  0.1050, -0.0000,  0.0000,  0.9720,  0.9449,  0.9720,  0.9449,  0.4859,  0.2361
   31,  0.1550, -0.0000,  0.0000,  0.9718,  0.9444,  0.9153,  0.8378,  0.0366,  0.0013
   41,  0.2050, -0.0000,  0.0000,  0.9720,  0.9449,  0.7857,  0.6173, -0.7823,  0.6119
   51,  0.2550, -0.0000,  0.0000,  0.9719,  0.9446,  0.8346,  0.6966, -0.5850,  0.3423
   61,  0.3050, -0.0000,  0.0000,  0.9719,  0.9447,  0.8653,  0.7487, -0.3761,  0.1414
   71,  0.3550, -0.0000,  0.0000,  0.9718,  0.9444,  0.8723,  0.7609, -0.3350,  0.1122
   81,  0.4050, -0.0000,  0.0000,  0.9720,  0.9447,  0.8192,  0.6711, -0.6062,  0.3675
   91,  0.4550, -0.0000, -0.0000,  0.9719,  0.9445,  0.8613,  0.7419, -0.3999,  0.1599
  101,  0.5050, -0.0000,  0.0000,  0.9718,  0.9445,  0.8614,  0.7421, -0.3889,  0.1512
  111,  0.5550, -0.0000, -0.0000,  0.9719,  0.9445,  0.8510,  0.7242, -0.4419,  0.1953
  121,  0.6050, -0.0000, -0.0000,  0.9719,  0.9446,  0.8436,  0.7117, -0.4859,  0.2361
  131,  0.6550, -0.0000,  0.0000,  0.9719,  0.9446,  0.8598,  0.7392, -0.3998,  0.1598
  141,  0.7050, -0.0000,  0.0000,  0.9720,  0.9448,  0.8588,  0.7376, -0.3671,  0.1347
  151,  0.7550, -0.0000,  0.0000,  0.9719,  0.9446,  0.8814,  0.7769, -0.2603,  0.0678
  161,  0.8050, -0.0000,  0.0000,  0.9720,  0.9447,  0.8516,  0.7253, -0.4161,  0.1731
  171,  0.8550, -0.0000,  0.0000,  0.9719,  0.9447,  0.8587,  0.7374, -0.3799,  0.1443
  181,  0.9050, -0.0000,  0.0000,  0.9720,  0.9447,  0.8688,  0.7548, -0.3267,  0.1067
  191,  0.9550, -0.0000,  0.0000,  0.9719,  0.9446,  0.8737,  0.7633, -0.3304,  0.1092
