Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  0.9648,  0.9308,  0.9648,  0.9308,  0.4824,  0.2327
   11,  0.0550, -0.0000,  0.0000,  0.9648,  0.9308,  0.9648,  0.9308,  0.4824,  0.2327
   21,  0.1050, -0.0000,  0.0000,  0.9648,  0.9308,  0.9648,  0.9308,  0.4823,  0.2326
   31,  0.1550, -0.0000,  0.0000,  0.9646,  0.9304,  0.9138,  0.8351,  0.0693,  0.0048
   41,  0.2050, -0.0000,  0.0000,  0.9648,  0.9309,  0.7854,  0.6168, -0.7185,  0.5163
   51,  0.2550, -0.0000,  0.0000,  0.9646,  0.9305,  0.8519,  0.7257, -0.4175,  0.1743
   61,  0.3050, -0.0000,  0.0000,  0.9647,  0.9306,  0.8719,  0.7602, -0.2821,  0.0796
   71,  0.3550, -0.0000,  0.0000,  0.9647,  0.9306,  0.8524,  0.7265, -0.3981,  0.1585
   81,  0.4050, -0.0000,  0.0000,  0.9646,  0.9305,  0.8520,  0.7259, -0.4374,  0.1913
   91,  0.4550, -0.0000,  0.0000,  0.9647,  0.9306,  0.8329,  0.6938, -0.5388,  0.2903
  101,  0.5050, -0.0000,  0.0000,  0.9647,  0.9306,  0.8466,  0.7167, -0.4294,  0.1844
  111,  0.5550, -0.0000,  0.0000,  0.9646,  0.9305,  0.8677,  0.7529, -0.3108,  0.0966
  121,  0.6050, -0.0000,  0.0000,  0.9647,  0.9307,  0.8299,  0.6888, -0.5187,  0.2691
  131,  0.6550, -0.0000,  0.0000,  0.9646,  0.9305,  0.8490,  0.7208, -0.4236,  0.1795
  141,  0.7050, -0.0000,  0.0000,  0.9647,  0.9306,  0.8656,  0.7492, -0.2849,  0.0812
  151,  0.7550, -0.0000,  0.0000,  0.9647,  0.9306,  0.8817,  0.7774, -0.1971,  0.0389
  161,  0.8050,  0.0000,  0.0000,  0.9647,  0.9306,  0.8663,  0.7504, -0.2971,  0.0883
  171,  0.8550, -0.0000,  0.0000,  0.9647,  0.9306,  0.8490,  0.7208, -0.4037,  0.1630
  181,  0.9050, -0.0000,  0.0000,  0.9647,  0.9306,  0.8397,  0.7052, -0.4675,  0.2186
  191,  0.9550,  0.0000,  0.0000,  0.9647,  0.9306,  0.8380,  0.7023, -0.4709,  0.2218
  201,  1.0050, -0.0000,  0.0000,  0.9646,  0.9305,  0.8490,  0.7208, -0.4150,  0.1723
  211,  1.0550, -0.0000,  0.0000,  0.9647,  0.9306,  0.8555,  0.7318, -0.3672,  0.1348
  221,  1.1050, -0.0000,  0.0000,  0.9647,  0.9307,  0.8586,  0.7372, -0.3317,  0.1100
  231,  1.1550, -0.0000,  0.0000,  0.9646,  0.9305,  0.8594,  0.7385, -0.3404,  0.1159
  241,  1.2050, -0.0000,  0.0000,  0.9646,  0.9305,  0.8413,  0.7078, -0.4358,  0.1900
  251,  1.2550, -0.0000,  0.0000,  0.9646,  0.9305,  0.8494,  0.7216, -0.3814,  0.1455
  261,  1.3050, -0.0000,  0.0000,  0.9647,  0.9306,  0.8672,  0.7521, -0.2768,  0.0766
