Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000,  0.0000,  0.9686,  0.9382,  0.9686,  0.9382,  0.4843,  0.2345
   11,  0.0550,  0.0000,  0.0000,  0.9686,  0.9382,  0.9686,  0.9382,  0.4843,  0.2345
   21,  0.1050,  0.0000,  0.0000,  0.9686,  0.9382,  0.9686,  0.9382,  0.4841,  0.2344
   31,  0.1550,  0.0000,  0.0000,  0.9684,  0.9378,  0.9303,  0.8654,  0.1556,  0.0242
   41,  0.2050,  0.0000,  0.0000,  0.9686,  0.9382,  0.8037,  0.6459, -0.6714,  0.4507
   51,  0.2550,  0.0000,  0.0000,  0.9685,  0.9379,  0.8217,  0.6752, -0.6491,  0.4214
   61,  0.3050,  0.0000,  0.0000,  0.9684,  0.9379,  0.8556,  0.7321, -0.4342,  0.1885
   71,  0.3550,  0.0000, -0.0000,  0.9685,  0.9380,  0.8380,  0.7022, -0.4953,  0.2453
   81,  0.4050,  0.0000, -0.0000,  0.9685,  0.9379,  0.8312,  0.6908, -0.5358,  0.2871
   91,  0.4550,  0.0000, -0.0000,  0.9685,  0.9379,  0.8468,  0.7171, -0.4471,  0.1999
  101,  0.5050,  0.0000, -0.0000,  0.9685,  0.9379,  0.8574,  0.7351, -0.3866,  0.1495
  111,  0.5550,  0.0000, -0.0000,  0.9685,  0.9380,  0.8368,  0.7002, -0.5036,  0.2536
  121,  0.6050,  0.0000, -0.0000,  0.9684,  0.9379,  0.8616,  0.7423, -0.3691,  0.1363
  131,  0.6550,  0.0000, -0.0000,  0.9685,  0.9380,  0.8608,  0.7410, -0.3535,  0.1250
  141,  0.7050,  0.0000, -0.0000,  0.9685,  0.9379,  0.8546,  0.7303, -0.4082,  0.1666
  151,  0.7550,  0.0000,  0.0000,  0.9685,  0.9379,  0.8456,  0.7150, -0.4572,  0.2090
  161,  0.8050,  0.0000, -0.0000,  0.9684,  0.9379,  0.8496,  0.7218, -0.4397,  0.1933
  171,  0.8550,  0.0000, -0.0000,  0.9685,  0.9380,  0.8416,  0.7084, -0.4780,  0.2285
  181,  0.9050,  0.0000, -0.0000,  0.9684,  0.9379,  0.8467,  0.7169, -0.4630,  0.2144
  191,  0.9550,  0.0000, -0.0000,  0.9685,  0.9380,  0.8523,  0.7265, -0.4083,  0.1667
