Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    2,  0.0100, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    3,  0.0150, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    4,  0.0200, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    5,  0.0250, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    6,  0.0300, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    7,  0.0350, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    8,  0.0400, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
    9,  0.0450, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   10,  0.0500, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   11,  0.0550, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   12,  0.0600, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   13,  0.0650, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   14,  0.0700, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   15,  0.0750, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   16,  0.0800, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   17,  0.0850, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   18,  0.0900, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   19,  0.0950, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   20,  0.1000, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   21,  0.1050, -0.0000,  0.0000,  0.9711,  0.9431,  0.9711,  0.9431,  0.4856,  0.2358
   22,  0.1100, -0.0000,  0.0000,  0.9711,  0.9431,  0.9710,  0.9429,  0.4815,  0.2318
   23,  0.1150, -0.0000,  0.0000,  0.9711,  0.9430,  0.9706,  0.9420,  0.4705,  0.2213
   24,  0.1200, -0.0000,  0.0000,  0.9710,  0.9429,  0.9694,  0.9396,  0.4473,  0.2001
   25,  0.1250, -0.0000,  0.0000,  0.0388,  0.1903,  0.0387,  0.1895,  0.0165,  0.0807
   26,  0.1300, -0.0000,  0.0000,  0.9709,  0.9427,  0.9625,  0.9264,  0.3637,  0.1323
   27,  0.1350, -0.0000,  0.0000,  0.9709,  0.9427,  0.9559,  0.9137,  0.3011,  0.0907
   28,  0.1400, -0.0000,  0.0000,  0.9709,  0.9426,  0.9466,  0.8960,  0.2244,  0.0504
   29,  0.1450, -0.0000,  0.0000,  0.9708,  0.9425,  0.9342,  0.8726,  0.1316,  0.0173
   30,  0.1500, -0.0000,  0.0000,  0.9708,  0.9425,  0.9184,  0.8434,  0.0217,  0.0005
   31,  0.1550, -0.0000,  0.0000,  0.9708,  0.9425,  0.8992,  0.8085, -0.1033,  0.0107
   32,  0.1600, -0.0000,  0.0000,  0.9708,  0.9425,  0.8768,  0.7687, -0.2413,  0.0582
   33,  0.1650, -0.0000,  0.0000,  0.9709,  0.9426,  0.8518,  0.7255, -0.3900,  0.1521
   34,  0.1700, -0.0000,  0.0000,  0.9710,  0.9428,  0.8251,  0.6809, -0.5441,  0.2960
   35,  0.1750, -0.0000,  0.0000,  0.9710,  0.9429,  0.7982,  0.6371, -0.6973,  0.4863
   36,  0.1800, -0.0000,  0.0000,  0.9711,  0.9431,  0.7723,  0.5965, -0.8435,  0.7115
   37,  0.1850, -0.0000,  0.0000,  0.9712,  0.9432,  0.7491,  0.5612, -0.9754,  0.9513
   38,  0.1900, -0.0000,  0.0000,  0.9713,  0.9433,  0.7299,  0.5327, -1.0875,  1.1826
   39,  0.1950, -0.0000,  0.0000,  0.9713,  0.9434,  0.7155,  0.5119, -1.1748,  1.3801
   40,  0.2000, -0.0000,  0.0000,  0.9713,  0.9434,  0.7064,  0.4989, -1.2365,  1.5290
   41,  0.2050, -0.0000,  0.0000,  0.9712,  0.9433,  0.7025,  0.4935, -1.2720,  1.6179
   42,  0.2100, -0.0000,  0.0000,  0.9712,  0.9432,  0.7033,  0.4947, -1.2832,  1.6466
   43,  0.2150, -0.0000,  0.0000,  0.9711,  0.9431,  0.7082,  0.5015, -1.2725,  1.6192
   44,  0.2200, -0.0000,  0.0000,  0.9711,  0.9430,  0.7162,  0.5129, -1.2443,  1.5482
   45,  0.2250, -0.0000,  0.0000,  0.9710,  0.9429,  0.7265,  0.5278, -1.2017,  1.4441
   46,  0.2300, -0.0000,  0.0000,  0.9710,  0.9428,  0.7383,  0.5451, -1.1484,  1.3189
   47,  0.2350, -0.0000,  0.0000,  0.9710,  0.9428,  0.7509,  0.5639, -1.0886,  1.1850
   48,  0.2400, -0.0000,  0.0000,  0.9710,  0.9427,  0.7638,  0.5835, -1.0240,  1.0486
   49,  0.2450, -0.0000,  0.0000,  0.9709,  0.9427,  0.7766,  0.6031, -0.9572,  0.9162
   50,  0.2500, -0.0000,  0.0000,  0.0388,  0.1903,  0.0316,  0.1546, -0.0356,  0.1744
   51,  0.2550, -0.0000,  0.0000,  0.9709,  0.9427,  0.8004,  0.6406, -0.8227,  0.6768
   52,  0.2600, -0.0000,  0.0000,  0.9709,  0.9427,  0.8109,  0.6575, -0.7578,  0.5742
   53,  0.2650, -0.0000,  0.0000,  0.9709,  0.9427,  0.8203,  0.6729, -0.6975,  0.4865
   54,  0.2700, -0.0000,  0.0000,  0.9709,  0.9427,  0.8285,  0.6865, -0.6416,  0.4116
   55,  0.2750, -0.0000,  0.0000,  0.9709,  0.9427,  0.8355,  0.6981, -0.5916,  0.3500
   56,  0.2800, -0.0000,  0.0000,  0.9709,  0.9427,  0.8414,  0.7079, -0.5482,  0.3006
   57,  0.2850, -0.0000,  0.0000,  0.9710,  0.9428,  0.8462,  0.7160, -0.5103,  0.2604
   58,  0.2900, -0.0000,  0.0000,  0.9710,  0.9428,  0.8502,  0.7229, -0.4772,  0.2277
   59,  0.2950, -0.0000,  0.0000,  0.9710,  0.9428,  0.8538,  0.7289, -0.4479,  0.2006
   60,  0.3000, -0.0000,  0.0000,  0.9710,  0.9429,  0.8571,  0.7347, -0.4202,  0.1766
   61,  0.3050, -0.0000,  0.0000,  0.9710,  0.9429,  0.8605,  0.7405, -0.3929,  0.1544
   62,  0.3100, -0.0000,  0.0000,  0.9710,  0.9429,  0.8640,  0.7465, -0.3675,  0.1350
   63,  0.3150, -0.0000,  0.0000,  0.9710,  0.9428,  0.8675,  0.7525, -0.3441,  0.1184
   64,  0.3200, -0.0000,  0.0000,  0.9710,  0.9428,  0.8706,  0.7580, -0.3263,  0.1064
   65,  0.3250, -0.0000,  0.0000,  0.9709,  0.9427,  0.8730,  0.7622, -0.3133,  0.0981
   66,  0.3300, -0.0000,  0.0000,  0.9709,  0.9427,  0.8743,  0.7645, -0.3068,  0.0941
   67,  0.3350, -0.0000,  0.0000,  0.9709,  0.9427,  0.8744,  0.7645, -0.3066,  0.0940
   68,  0.3400, -0.0000,  0.0000,  0.9709,  0.9427,  0.8732,  0.7624, -0.3124,  0.0976
   69,  0.3450, -0.0000,  0.0000,  0.9710,  0.9428,  0.8709,  0.7585, -0.3240,  0.1050
   70,  0.3500, -0.0000,  0.0000,  0.9710,  0.9428,  0.8680,  0.7535, -0.3389,  0.1149
   71,  0.3550, -0.0000,  0.0000,  0.9710,  0.9429,  0.8648,  0.7479, -0.3552,  0.1261
   72,  0.3600, -0.0000,  0.0000,  0.9710,  0.9429,  0.8615,  0.7423, -0.3721,  0.1385
   73,  0.3650, -0.0000,  0.0000,  0.9710,  0.9429,  0.8583,  0.7366, -0.3894,  0.1517
   74,  0.3700, -0.0000,  0.0000,  0.9710,  0.9428,  0.8550,  0.7310, -0.4066,  0.1653
   75,  0.3750, -0.0000,  0.0000,  0.0388,  0.1903,  0.0341,  0.1669, -0.0169,  0.0830
   76,  0.3800, -0.0000,  0.0000,  0.9710,  0.9429,  0.8486,  0.7201, -0.4416,  0.1951
   77,  0.3850, -0.0000,  0.0000,  0.9710,  0.9429,  0.8456,  0.7150, -0.4589,  0.2106
   78,  0.3900, -0.0000,  0.0000,  0.9710,  0.9429,  0.8431,  0.7108, -0.4741,  0.2248
   79,  0.3950, -0.0000,  0.0000,  0.9710,  0.9429,  0.8411,  0.7075, -0.4870,  0.2372
   80,  0.4000, -0.0000,  0.0000,  0.9710,  0.9429,  0.8397,  0.7051, -0.4961,  0.2461
   81,  0.4050, -0.0000,  0.0000,  0.9710,  0.9429,  0.8389,  0.7037, -0.5021,  0.2521
   82,  0.4100, -0.0000,  0.0000,  0.9710,  0.9429,  0.8385,  0.7031, -0.5052,  0.2552
   83,  0.4150, -0.0000,  0.0000,  0.9710,  0.9429,  0.8385,  0.7030, -0.5054,  0.2555
   84,  0.4200, -0.0000,  0.0000,  0.9710,  0.9429,  0.8387,  0.7034, -0.5036,  0.2536
   85,  0.4250, -0.0000,  0.0000,  0.9710,  0.9429,  0.8392,  0.7042, -0.5005,  0.2505
   86,  0.4300, -0.0000,  0.0000,  0.9710,  0.9429,  0.8401,  0.7058, -0.4937,  0.2438
   87,  0.4350, -0.0000,  0.0000,  0.9710,  0.9429,  0.8416,  0.7083, -0.4832,  0.2335
   88,  0.4400, -0.0000,  0.0000,  0.9711,  0.9430,  0.8438,  0.7121, -0.4685,  0.2195
   89,  0.4450, -0.0000,  0.0000,  0.9711,  0.9430,  0.8469,  0.7173, -0.4482,  0.2009
   90,  0.4500, -0.0000,  0.0000,  0.9711,  0.9429,  0.8509,  0.7241, -0.4238,  0.1796
   91,  0.4550, -0.0000,  0.0000,  0.9710,  0.9429,  0.8556,  0.7321, -0.3966,  0.1573
   92,  0.4600, -0.0000,  0.0000,  0.9710,  0.9429,  0.8607,  0.7409, -0.3688,  0.1360
   93,  0.4650, -0.0000,  0.0000,  0.9710,  0.9428,  0.8659,  0.7499, -0.3404,  0.1159
   94,  0.4700, -0.0000,  0.0000,  0.9710,  0.9428,  0.8709,  0.7584, -0.3125,  0.0977
