Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    2,  0.0100, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    3,  0.0150, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    4,  0.0200, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    5,  0.0250, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    6,  0.0300, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    7,  0.0350, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    8,  0.0400, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
    9,  0.0450, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   10,  0.0500, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   11,  0.0550, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   12,  0.0600, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   13,  0.0650, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   14,  0.0700, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   15,  0.0750, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   16,  0.0800, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   17,  0.0850, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   18,  0.0900, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   19,  0.0950, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   20,  0.1000, -0.0000,  0.0000,  1.0267,  1.0541,  1.0267,  1.0541,  0.5133,  0.2635
   21,  0.1050, -0.0000,  0.0000,  1.0267,  1.0540,  1.0267,  1.0540,  0.5130,  0.2631
   22,  0.1100, -0.0000,  0.0000,  1.0266,  1.0540,  1.0265,  1.0538,  0.5082,  0.2582
   23,  0.1150, -0.0000,  0.0000,  1.0266,  1.0539,  1.0260,  1.0526,  0.4959,  0.2459
   24,  0.1200, -0.0000, -0.0000,  1.0266,  1.0539,  1.0247,  1.0500,  0.4759,  0.2265
   25,  0.1250, -0.0000, -0.0000,  0.0411,  0.2012,  0.0409,  0.2003,  0.0178,  0.0873
   26,  0.1300, -0.0000, -0.0000,  1.0265,  1.0537,  1.0183,  1.0368,  0.4023,  0.1619
   27,  0.1350, -0.0000,  0.0000,  1.0265,  1.0536,  1.0122,  1.0245,  0.3471,  0.1205
   28,  0.1400, -0.0000,  0.0000,  1.0264,  1.0536,  1.0037,  1.0074,  0.2790,  0.0779
   29,  0.1450, -0.0000, -0.0000,  1.0264,  1.0535,  0.9925,  0.9850,  0.1971,  0.0389
   30,  0.1500, -0.0000, -0.0000,  1.0264,  1.0535,  0.9783,  0.9571,  0.1004,  0.0101
   31,  0.1550, -0.0000, -0.0000,  1.0264,  1.0535,  0.9612,  0.9238, -0.0101,  0.0001
   32,  0.1600, -0.0000, -0.0000,  1.0264,  1.0535,  0.9413,  0.8861, -0.1328,  0.0176
   33,  0.1650, -0.0000, -0.0000,  1.0265,  1.0536,  0.9194,  0.8453, -0.2637,  0.0695
   34,  0.1700, -0.0000, -0.0000,  1.0265,  1.0537,  0.8962,  0.8032, -0.3984,  0.1588
   35,  0.1750, -0.0000, -0.0000,  1.0266,  1.0539,  0.8731,  0.7623, -0.5313,  0.2823
   36,  0.1800, -0.0000, -0.0000,  1.0267,  1.0541,  0.8513,  0.7247, -0.6571,  0.4317
   37,  0.1850, -0.0000, -0.0000,  1.0267,  1.0542,  0.8321,  0.6924, -0.7700,  0.5929
   38,  0.1900, -0.0000, -0.0000,  1.0268,  1.0543,  0.8166,  0.6668, -0.8656,  0.7492
   39,  0.1950, -0.0000, -0.0000,  1.0268,  1.0543,  0.8055,  0.6488, -0.9400,  0.8836
   40,  0.2000, -0.0000, -0.0000,  1.0268,  1.0543,  0.7991,  0.6385, -0.9905,  0.9810
   41,  0.2050, -0.0000, -0.0000,  1.0267,  1.0542,  0.7973,  0.6357, -1.0183,  1.0369
   42,  0.2100, -0.0000, -0.0000,  1.0267,  1.0541,  0.7996,  0.6394, -1.0249,  1.0505
   43,  0.2150, -0.0000, -0.0000,  1.0266,  1.0540,  0.8053,  0.6485, -1.0127,  1.0256
   44,  0.2200, -0.0000, -0.0000,  1.0266,  1.0539,  0.8135,  0.6618, -0.9853,  0.9708
   45,  0.2250, -0.0000, -0.0000,  1.0265,  1.0538,  0.8234,  0.6780, -0.9469,  0.8967
   46,  0.2300, -0.0000, -0.0000,  1.0265,  1.0537,  0.8340,  0.6956, -0.9013,  0.8124
   47,  0.2350, -0.0000, -0.0000,  1.0265,  1.0537,  0.8448,  0.7136, -0.8512,  0.7246
   48,  0.2400, -0.0000,  0.0000,  1.0265,  1.0536,  0.8550,  0.7311, -0.7994,  0.6391
   49,  0.2450, -0.0000, -0.0000,  1.0265,  1.0536,  0.8645,  0.7473, -0.7472,  0.5583
   50,  0.2500, -0.0000, -0.0000,  0.0411,  0.2011,  0.0349,  0.1710, -0.0278,  0.1364
   51,  0.2550, -0.0000, -0.0000,  1.0265,  1.0536,  0.8802,  0.7747, -0.6474,  0.4192
   52,  0.2600, -0.0000, -0.0000,  1.0265,  1.0537,  0.8865,  0.7858, -0.6022,  0.3627
   53,  0.2650, -0.0000, -0.0000,  1.0265,  1.0537,  0.8919,  0.7955, -0.5611,  0.3149
   54,  0.2700, -0.0000, -0.0000,  1.0265,  1.0538,  0.8967,  0.8040, -0.5232,  0.2737
   55,  0.2750, -0.0000, -0.0000,  1.0266,  1.0538,  0.9010,  0.8118, -0.4895,  0.2396
   56,  0.2800, -0.0000, -0.0000,  1.0266,  1.0538,  0.9051,  0.8193, -0.4585,  0.2103
   57,  0.2850, -0.0000, -0.0000,  1.0266,  1.0539,  0.9091,  0.8265, -0.4293,  0.1843
   58,  0.2900, -0.0000, -0.0000,  1.0266,  1.0539,  0.9129,  0.8333, -0.4031,  0.1625
   59,  0.2950, -0.0000, -0.0000,  1.0266,  1.0538,  0.9164,  0.8399, -0.3813,  0.1454
   60,  0.3000, -0.0000, -0.0000,  1.0266,  1.0538,  0.9197,  0.8459, -0.3632,  0.1319
   61,  0.3050, -0.0000,  0.0000,  1.0265,  1.0538,  0.9225,  0.8511, -0.3485,  0.1215
   62,  0.3100, -0.0000, -0.0000,  1.0265,  1.0537,  0.9246,  0.8550, -0.3395,  0.1153
   63,  0.3150, -0.0000, -0.0000,  1.0265,  1.0537,  0.9258,  0.8571, -0.3345,  0.1119
   64,  0.3200, -0.0000, -0.0000,  1.0265,  1.0537,  0.9257,  0.8570, -0.3360,  0.1129
   65,  0.3250, -0.0000, -0.0000,  1.0265,  1.0536,  0.9243,  0.8543, -0.3448,  0.1189
   66,  0.3300, -0.0000, -0.0000,  1.0265,  1.0537,  0.9214,  0.8489, -0.3602,  0.1298
   67,  0.3350, -0.0000, -0.0000,  1.0265,  1.0537,  0.9172,  0.8412, -0.3813,  0.1454
   68,  0.3400, -0.0000, -0.0000,  1.0265,  1.0537,  0.9120,  0.8317, -0.4058,  0.1646
   69,  0.3450, -0.0000, -0.0000,  1.0265,  1.0538,  0.9062,  0.8211, -0.4331,  0.1876
   70,  0.3500, -0.0000, -0.0000,  1.0266,  1.0538,  0.9002,  0.8104, -0.4616,  0.2131
   71,  0.3550, -0.0000, -0.0000,  1.0266,  1.0539,  0.8946,  0.8002, -0.4888,  0.2389
   72,  0.3600, -0.0000, -0.0000,  1.0266,  1.0539,  0.8896,  0.7914, -0.5130,  0.2632
   73,  0.3650, -0.0000, -0.0000,  1.0266,  1.0539,  0.8855,  0.7842, -0.5331,  0.2842
   74,  0.3700, -0.0000, -0.0000,  1.0266,  1.0539,  0.8825,  0.7789, -0.5488,  0.3011
   75,  0.3750, -0.0000, -0.0000,  0.0411,  0.2012,  0.0352,  0.1726, -0.0224,  0.1099
   76,  0.3800, -0.0000, -0.0000,  1.0266,  1.0539,  0.8796,  0.7737, -0.5695,  0.3243
   77,  0.3850, -0.0000, -0.0000,  1.0266,  1.0539,  0.8797,  0.7738, -0.5731,  0.3284
   78,  0.3900, -0.0000,  0.0000,  1.0266,  1.0539,  0.8806,  0.7754, -0.5733,  0.3286
   79,  0.3950, -0.0000, -0.0000,  1.0266,  1.0538,  0.8821,  0.7781, -0.5690,  0.3238
   80,  0.4000, -0.0000, -0.0000,  1.0266,  1.0538,  0.8841,  0.7817, -0.5614,  0.3152
   81,  0.4050, -0.0000, -0.0000,  1.0265,  1.0538,  0.8864,  0.7857, -0.5508,  0.3034
   82,  0.4100, -0.0000, -0.0000,  1.0265,  1.0538,  0.8887,  0.7898, -0.5378,  0.2893
   83,  0.4150, -0.0000, -0.0000,  1.0265,  1.0538,  0.8910,  0.7939, -0.5235,  0.2741
   84,  0.4200, -0.0000, -0.0000,  1.0265,  1.0538,  0.8932,  0.7978, -0.5088,  0.2589
   85,  0.4250, -0.0000, -0.0000,  1.0265,  1.0538,  0.8953,  0.8015, -0.4942,  0.2442
   86,  0.4300, -0.0000, -0.0000,  1.0266,  1.0538,  0.8973,  0.8052, -0.4790,  0.2294
   87,  0.4350, -0.0000, -0.0000,  1.0266,  1.0538,  0.8995,  0.8091, -0.4626,  0.2140
