Velocity distribution attitude
  0.0025,  0.0031,  0.0088,  0.0169,  0.0125,  0.0125,  0.0169,  0.0219,  0.0294,  0.0256,  0.0250,  0.0331,  0.0312,  0.0356,  0.0444,  0.0369,  0.0319,  0.0312,  0.0338,  0.0475,  0.0331,  0.0444,  0.0262,  0.0288,  0.0444,  0.0419,  0.0437,  0.0325,  0.0437,  0.0219,  0.0156,  0.0156,  0.0144,  0.0169,  0.0106,  0.0088,  0.0156,  0.0075,  0.0069,  0.0056,  0.0050,  0.0019,  0.0037,  0.0031,  0.0025,  0.0013,  0.0013,  0.0006,  0.0013,  0.0006,
---
  4.0000,  2.0000,  9.0000, 18.0000, 13.0000, 15.0000, 18.0000, 26.0000, 36.0000, 35.0000, 33.0000, 37.0000, 35.0000, 43.0000, 54.0000, 46.0000, 37.0000, 35.0000, 38.0000, 58.0000, 38.0000, 58.0000, 30.0000, 36.0000, 58.0000, 53.0000, 53.0000, 44.0000, 53.0000, 29.0000, 19.0000, 15.0000, 16.0000, 19.0000, 14.0000,  8.0000, 17.0000, 10.0000,  9.0000,  5.0000,  6.0000,  2.0000,  5.0000,  3.0000,  3.0000,  2.0000,  0.0000,  0.0000,  2.0000,  1.0000,
---
  2.0000,  2.0000,  7.0000, 12.0000,  9.0000, 11.0000, 10.0000, 18.0000, 24.0000, 24.0000, 18.0000, 16.0000, 26.0000, 27.0000, 33.0000, 32.0000, 26.0000, 22.0000, 25.0000, 42.0000, 26.0000, 39.0000, 26.0000, 26.0000, 42.0000, 35.0000, 38.0000, 32.0000, 37.0000, 19.0000, 14.0000, 10.0000,  7.0000, 10.0000, 10.0000,  4.0000, 10.0000,  8.0000,  5.0000,  3.0000,  2.0000,  2.0000,  4.0000,  1.0000,  1.0000,  1.0000,  0.0000,  0.0000,  1.0000,  1.0000,
---
  0.0000,  2.0000,  3.0000,  6.0000,  6.0000,  6.0000,  8.0000,  7.0000, 10.0000,  9.0000,  8.0000,  8.0000, 10.0000, 11.0000, 16.0000, 20.0000, 10.0000, 14.0000, 12.0000, 25.0000, 13.0000, 22.0000, 13.0000, 13.0000, 23.0000, 19.0000, 20.0000, 17.0000, 13.0000, 11.0000,  8.0000,  4.0000,  4.0000,  4.0000,  5.0000,  3.0000,  5.0000,  6.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  1.0000,  0.0000,
---
  0.0006,  0.0037,  0.0050,  0.0037,  0.0044,  0.0200,  0.0163,  0.0169,  0.0156,  0.0175,  0.0213,  0.0163,  0.0262,  0.0238,  0.0250,  0.0369,  0.0369,  0.0281,  0.0325,  0.0431,  0.0569,  0.0469,  0.0456,  0.0531,  0.0681,  0.0500,  0.0481,  0.0350,  0.0269,  0.0456,  0.0331,  0.0238,  0.0181,  0.0200,  0.0156,  0.0056,  0.0025,  0.0050,  0.0025,  0.0006,  0.0013,  0.0006,  0.0006,  0.0000,  0.0006,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  1.0000,  4.0000,  6.0000,  2.0000,  5.0000, 22.0000, 18.0000, 16.0000, 22.0000, 18.0000, 23.0000, 20.0000, 31.0000, 27.0000, 28.0000, 38.0000, 44.0000, 35.0000, 42.0000, 57.0000, 68.0000, 57.0000, 62.0000, 70.0000, 80.0000, 66.0000, 59.0000, 42.0000, 29.0000, 58.0000, 44.0000, 25.0000, 25.0000, 25.0000, 19.0000,  4.0000,  4.0000,  2.0000,  1.0000,  0.0000,  0.0000,  0.0000,  1.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  1.0000,  3.0000,  4.0000,  0.0000,  3.0000, 12.0000, 10.0000, 10.0000, 12.0000, 11.0000, 14.0000, 14.0000, 22.0000, 14.0000, 16.0000, 23.0000, 29.0000, 23.0000, 31.0000, 34.0000, 44.0000, 33.0000, 44.0000, 54.0000, 56.0000, 46.0000, 45.0000, 30.0000, 20.0000, 40.0000, 33.0000, 18.0000, 16.0000, 18.0000, 15.0000,  1.0000,  1.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
  0.0000,  1.0000,  1.0000,  0.0000,  1.0000,  4.0000,  3.0000,  3.0000,  4.0000,  5.0000,  6.0000,  6.0000,  7.0000,  7.0000,  5.0000,  8.0000, 13.0000,  9.0000, 14.0000, 18.0000, 21.0000, 20.0000, 25.0000, 27.0000, 24.0000, 27.0000, 30.0000, 19.0000, 14.0000, 23.0000, 21.0000, 10.0000,  5.0000,  9.0000, 10.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
---
