    1	-13.4381	-13.4293
    1	-13.4321	-12.0233
    1	-13.4332	-10.6068
    1	-13.4278	 -9.1854
    1	-13.4369	 -7.7800
    1	-13.4317	 -6.3581
    1	-13.4406	 -4.9539
    1	-13.4384	 -3.5291
    1	-13.4410	 -2.1147
    1	-13.4404	 -0.7001
    1	-13.4289	  0.7016
    1	-13.4411	  2.1190
    1	-13.4397	  3.5288
    1	-13.4337	  4.9505
    1	-13.4408	  6.3571
    1	-13.4392	  7.7741
    1	-13.4278	  9.1902
    1	-13.4372	 10.6065
    1	-13.4359	 12.0250
    1	-13.4358	 13.4353
    1	-12.0238	-13.4350
    1	-12.0261	-12.0267
    1	-12.0178	-10.6014
    1	-12.0271	 -9.1861
    1	-12.0271	 -7.7726
    1	-12.0271	 -6.3706
    1	-12.0271	 -4.9482
    1	-12.0144	 -3.5418
    1	-12.0271	 -2.1235
    1	-12.0170	 -0.7010
    1	-12.0242	  0.7055
    1	-12.0269	  2.1249
    1	-12.0270	  3.5421
    1	-12.0268	  4.9568
    1	-12.0253	  6.3712
    1	-12.0164	  7.7853
    1	-12.0133	  9.1892
    1	-12.0130	 10.6000
    1	-12.0159	 12.0187
    1	-12.0246	 13.4367
    1	-10.6122	-13.4407
    1	-10.6096	-12.0275
    1	-10.6071	-10.6129
    1	-10.6086	 -9.1906
    1	-10.6043	 -7.7824
    1	-10.6125	 -6.3627
    1	-10.5997	 -4.9460
    1	-10.6070	 -3.5332
    1	-10.6116	 -2.1143
    1	-10.6032	 -0.7119
    1	-10.6074	  0.7143
    1	-10.6023	  2.1284
    1	-10.6127	  3.5287
    1	-10.6029	  4.9567
    1	-10.6100	  6.3628
    1	-10.6100	  7.7854
    1	-10.6129	  9.1869
    1	-10.6089	 10.6021
    1	-10.6121	 12.0262
    1	-10.6117	 13.4423
    1	 -9.1983	-13.4280
    1	 -9.1977	-12.0141
    1	 -9.1963	-10.6134
    1	 -9.1979	 -9.1886
    1	 -9.1846	 -7.7725
    1	 -9.1883	 -6.3570
    1	 -9.1845	 -4.9494
    1	 -9.1873	 -3.5297
    1	 -9.1870	 -2.1268
    1	 -9.1980	 -0.6999
    1	 -9.1940	  0.7113
    1	 -9.1973	  2.1156
    1	 -9.1920	  3.5428
    1	 -9.1925	  4.9553
    1	 -9.1920	  6.3579
    1	 -9.1965	  7.7743
    1	 -9.1888	  9.1996
    1	 -9.1976	 10.5997
    1	 -9.1850	 12.0151
    1	 -9.1863	 13.4383
    1	 -7.7817	-13.4396
    1	 -7.7841	-12.0136
    1	 -7.7765	-10.6134
    1	 -7.7834	 -9.1953
    1	 -7.7820	 -7.7839
    1	 -7.7776	 -6.3679
    1	 -7.7831	 -4.9499
    1	 -7.7841	 -3.5407
    1	 -7.7845	 -2.1180
    1	 -7.7807	 -0.7129
    1	 -7.7704	  0.7141
    1	 -7.7831	  2.1203
    1	 -7.7768	  3.5382
    1	 -7.7742	  4.9441
    1	 -7.7838	  6.3649
    1	 -7.7810	  7.7841
    1	 -7.7837	  9.1991
    1	 -7.7716	 10.6134
    1	 -7.7754	 12.0158
    1	 -7.7718	 13.4307
    1	 -6.3643	-13.4322
    1	 -6.3608	-12.0158
    1	 -6.3702	-10.6128
    1	 -6.3561	 -9.1991
    1	 -6.3701	 -7.7709
    1	 -6.3629	 -6.3706
    1	 -6.3702	 -4.9481
    1	 -6.3702	 -3.5341
    1	 -6.3695	 -2.1209
    1	 -6.3698	 -0.7060
    1	 -6.3685	  0.7004
    1	 -6.3601	  2.1217
    1	 -6.3698	  3.5414
    1	 -6.3690	  4.9527
    1	 -6.3701	  6.3625
    1	 -6.3563	  7.7753
    1	 -6.3568	  9.1996
    1	 -6.3659	 10.6094
    1	 -6.3654	 12.0163
    1	 -6.3692	 13.4422
