    0	311.0000
    1	 90.0000
    2	 78.0000
    3	 51.0000
    4	 47.0000
    5	 60.0000
    6	 29.0000
    7	 33.0000
    8	 34.0000
    9	 28.0000
   10	 33.0000
   11	 19.0000
   12	 21.0000
   13	 12.0000
   14	 19.0000
   15	 21.0000
   16	 11.0000
   17	 14.0000
   18	 26.0000
   19	 12.0000
   20	 10.0000
   21	 10.0000
   22	  8.0000
   23	 13.0000
   24	 11.0000
   25	  6.0000
   26	 10.0000
   27	  6.0000
   28	  9.0000
   29	 12.0000
   30	  3.0000
   31	  9.0000
   32	  8.0000
   33	  9.0000
   34	  6.0000
   35	  8.0000
   36	  8.0000
   37	  8.0000
   38	  4.0000
   39	  7.0000
   40	  4.0000
   41	  5.0000
   42	  8.0000
   43	  8.0000
   44	  7.0000
   45	 13.0000
   46	  3.0000
   47	  6.0000
   48	  7.0000
   49	425.0000
