Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000, -0.0000,  0.9014,  0.8125,  0.9014,  0.8125,  0.4507,  0.2031
   11,  0.0550,  0.0000, -0.0000,  0.9014,  0.8125,  0.9014,  0.8125,  0.4507,  0.2031
   21,  0.1050,  0.0000, -0.0000,  0.9014,  0.8125,  0.9014,  0.8125,  0.4507,  0.2031
   31,  0.1550,  0.0000, -0.0000,  0.9013,  0.8123,  0.8951,  0.8012,  0.3494,  0.1221
   41,  0.2050,  0.0000,  0.0000,  0.9013,  0.8124,  0.7692,  0.5917, -0.5639,  0.3180
   51,  0.2550,  0.0000,  0.0000,  0.9014,  0.8126,  0.7191,  0.5171, -0.8919,  0.7955
   61,  0.3050,  0.0000, -0.0000,  0.9012,  0.8122,  0.8411,  0.7074, -0.1538,  0.0237
   71,  0.3550,  0.0000,  0.0000,  0.9012,  0.8122,  0.8188,  0.6704, -0.2425,  0.0588
   81,  0.4050,  0.0000,  0.0000,  0.9013,  0.8124,  0.7112,  0.5058, -0.8679,  0.7533
   91,  0.4550,  0.0000,  0.0000,  0.9010,  0.8117,  0.7364,  0.5423, -0.7717,  0.5955
