Velocity distribution attitude
  0.0031,  0.0077,  0.0145,  0.0209,  0.0236,  0.0262,  0.0294,  0.0314,  0.0350,  0.0391,  0.0414,  0.0464,  0.0420,  0.0448,  0.0456,  0.0450,  0.0462,  0.0437,  0.0402,  0.0375,  0.0381,  0.0320,  0.0302,  0.0273,  0.0234,  0.0289,  0.0230,  0.0159,  0.0203,  0.0134,  0.0112,  0.0123,  0.0120,  0.0092,  0.0061,  0.0061,  0.0052,  0.0039,  0.0027,  0.0030,  0.0017,  0.0020,  0.0017,  0.0009,  0.0011,  0.0008,  0.0008,  0.0006,  0.0005,  0.0016,
---
 17.0000, 36.0000, 70.0000, 94.0000,117.0000,117.0000,123.0000,156.0000,167.0000,187.0000,190.0000,228.0000,210.0000,213.0000,234.0000,217.0000,211.0000,211.0000,196.0000,182.0000,177.0000,155.0000,138.0000,134.0000,113.0000,149.0000,110.0000, 78.0000, 98.0000, 69.0000, 53.0000, 66.0000, 55.0000, 43.0000, 26.0000, 30.0000, 26.0000, 21.0000, 16.0000, 15.0000, 10.0000,  7.0000,  7.0000,  5.0000,  3.0000,  3.0000,  4.0000,  3.0000,  2.0000,  8.0000,
---
 14.0000, 21.0000, 48.0000, 60.0000, 80.0000, 83.0000, 81.0000,114.0000,112.0000,127.0000,129.0000,147.0000,133.0000,142.0000,163.0000,149.0000,148.0000,139.0000,119.0000,130.0000,111.0000,109.0000, 90.0000, 83.0000, 72.0000, 89.0000, 73.0000, 53.0000, 69.0000, 43.0000, 33.0000, 43.0000, 37.0000, 31.0000, 14.0000, 20.0000, 16.0000, 16.0000, 10.0000,  8.0000,  7.0000,  5.0000,  5.0000,  5.0000,  2.0000,  3.0000,  4.0000,  2.0000,  1.0000,  7.0000,
---
  6.0000,  6.0000, 23.0000, 32.0000, 44.0000, 45.0000, 36.0000, 61.0000, 57.0000, 63.0000, 62.0000, 74.0000, 73.0000, 73.0000, 70.0000, 81.0000, 73.0000, 63.0000, 57.0000, 67.0000, 59.0000, 55.0000, 43.0000, 35.0000, 36.0000, 39.0000, 39.0000, 30.0000, 32.0000, 23.0000, 20.0000, 18.0000, 16.0000, 15.0000,  7.0000, 12.0000, 13.0000, 13.0000,  6.0000,  4.0000,  2.0000,  3.0000,  2.0000,  1.0000,  1.0000,  1.0000,  3.0000,  1.0000,  1.0000,  4.0000,
---
  0.0027,  0.0075,  0.0134,  0.0178,  0.0236,  0.0255,  0.0309,  0.0377,  0.0447,  0.0423,  0.0425,  0.0425,  0.0422,  0.0447,  0.0416,  0.0455,  0.0398,  0.0384,  0.0405,  0.0400,  0.0345,  0.0322,  0.0319,  0.0292,  0.0223,  0.0238,  0.0209,  0.0200,  0.0183,  0.0144,  0.0127,  0.0106,  0.0117,  0.0094,  0.0086,  0.0052,  0.0064,  0.0042,  0.0042,  0.0042,  0.0017,  0.0020,  0.0016,  0.0013,  0.0013,  0.0003,  0.0003,  0.0009,  0.0002,  0.0020,
---
 14.0000, 40.0000, 61.0000, 83.0000,118.0000,134.0000,146.0000,176.0000,215.0000,213.0000,193.0000,204.0000,195.0000,209.0000,201.0000,216.0000,193.0000,179.0000,201.0000,207.0000,164.0000,147.0000,142.0000,143.0000,109.0000,118.0000, 97.0000,100.0000, 79.0000, 67.0000, 61.0000, 54.0000, 57.0000, 49.0000, 46.0000, 24.0000, 31.0000, 23.0000, 19.0000, 18.0000, 10.0000,  9.0000,  8.0000,  5.0000,  6.0000,  2.0000,  2.0000,  2.0000,  0.0000, 10.0000,
---
  9.0000, 27.0000, 32.0000, 52.0000, 80.0000, 80.0000,102.0000,126.0000,138.0000,140.0000,124.0000,128.0000,125.0000,146.0000,135.0000,148.0000,126.0000,127.0000,129.0000,135.0000,111.0000,110.0000, 97.0000,105.0000, 72.0000, 76.0000, 65.0000, 62.0000, 54.0000, 45.0000, 44.0000, 36.0000, 32.0000, 29.0000, 33.0000, 17.0000, 20.0000, 17.0000, 14.0000, 13.0000,  7.0000,  8.0000,  7.0000,  4.0000,  3.0000,  1.0000,  2.0000,  1.0000,  0.0000,  6.0000,
---
  2.0000, 10.0000, 16.0000, 29.0000, 46.0000, 44.0000, 56.0000, 67.0000, 72.0000, 60.0000, 53.0000, 63.0000, 58.0000, 79.0000, 71.0000, 73.0000, 61.0000, 58.0000, 66.0000, 69.0000, 52.0000, 55.0000, 51.0000, 55.0000, 39.0000, 41.0000, 26.0000, 36.0000, 26.0000, 23.0000, 22.0000, 20.0000, 17.0000, 15.0000, 11.0000,  9.0000, 13.0000,  5.0000,  6.0000,  4.0000,  5.0000,  4.0000,  5.0000,  2.0000,  0.0000,  1.0000,  1.0000,  0.0000,  0.0000,  3.0000,
---
  0.0020,  0.0091,  0.0138,  0.0183,  0.0217,  0.0300,  0.0295,  0.0367,  0.0413,  0.0427,  0.0458,  0.0428,  0.0437,  0.0466,  0.0472,  0.0375,  0.0428,  0.0423,  0.0372,  0.0355,  0.0325,  0.0319,  0.0294,  0.0275,  0.0275,  0.0256,  0.0202,  0.0186,  0.0156,  0.0153,  0.0130,  0.0141,  0.0109,  0.0084,  0.0072,  0.0070,  0.0056,  0.0048,  0.0037,  0.0034,  0.0023,  0.0023,  0.0014,  0.0011,  0.0002,  0.0009,  0.0017,  0.0003,  0.0002,  0.0008,
---
  7.0000, 41.0000, 63.0000, 93.0000,104.0000,139.0000,138.0000,183.0000,203.0000,202.0000,230.0000,205.0000,211.0000,224.0000,227.0000,183.0000,208.0000,195.0000,171.0000,177.0000,155.0000,153.0000,151.0000,131.0000,123.0000,130.0000, 96.0000, 85.0000, 69.0000, 74.0000, 68.0000, 68.0000, 44.0000, 35.0000, 33.0000, 36.0000, 28.0000, 24.0000, 19.0000, 18.0000, 12.0000, 11.0000,  5.0000,  5.0000,  1.0000,  5.0000,  9.0000,  2.0000,  1.0000,  5.0000,
---
  3.0000, 29.0000, 38.0000, 66.0000, 66.0000, 89.0000, 90.0000,123.0000,153.0000,134.0000,156.0000,144.0000,145.0000,151.0000,154.0000,121.0000,133.0000,134.0000,110.0000,115.0000, 96.0000,104.0000, 94.0000, 87.0000, 72.0000, 80.0000, 62.0000, 56.0000, 46.0000, 45.0000, 48.0000, 43.0000, 30.0000, 27.0000, 20.0000, 29.0000, 19.0000, 18.0000, 11.0000, 17.0000,  9.0000,  9.0000,  5.0000,  5.0000,  0.0000,  3.0000,  7.0000,  0.0000,  1.0000,  3.0000,
---
  3.0000, 13.0000, 26.0000, 38.0000, 29.0000, 41.0000, 45.0000, 61.0000, 75.0000, 74.0000, 73.0000, 65.0000, 68.0000, 70.0000, 84.0000, 67.0000, 68.0000, 74.0000, 53.0000, 52.0000, 45.0000, 52.0000, 42.0000, 42.0000, 33.0000, 46.0000, 35.0000, 26.0000, 28.0000, 16.0000, 27.0000, 20.0000, 20.0000, 12.0000,  9.0000, 12.0000, 10.0000, 11.0000,  7.0000,  8.0000,  2.0000,  5.0000,  3.0000,  5.0000,  0.0000,  1.0000,  1.0000,  0.0000,  1.0000,  2.0000,
---
  0.0020,  0.0083,  0.0133,  0.0150,  0.0197,  0.0309,  0.0312,  0.0308,  0.0402,  0.0409,  0.0436,  0.0436,  0.0498,  0.0417,  0.0419,  0.0413,  0.0427,  0.0436,  0.0430,  0.0422,  0.0392,  0.0316,  0.0258,  0.0319,  0.0250,  0.0231,  0.0241,  0.0169,  0.0183,  0.0145,  0.0127,  0.0112,  0.0095,  0.0094,  0.0067,  0.0064,  0.0056,  0.0037,  0.0037,  0.0023,  0.0025,  0.0023,  0.0016,  0.0014,  0.0011,  0.0009,  0.0005,  0.0003,  0.0002,  0.0019,
---
 12.0000, 38.0000, 60.0000, 69.0000,100.0000,152.0000,137.0000,140.0000,182.0000,195.0000,208.0000,227.0000,244.0000,204.0000,209.0000,200.0000,201.0000,212.0000,207.0000,196.0000,187.0000,152.0000,120.0000,151.0000,125.0000,112.0000,127.0000, 79.0000, 89.0000, 70.0000, 61.0000, 52.0000, 44.0000, 43.0000, 34.0000, 26.0000, 28.0000, 18.0000, 18.0000, 12.0000, 10.0000, 12.0000,  7.0000,  7.0000,  5.0000,  4.0000,  3.0000,  2.0000,  1.0000,  8.0000,
---
  8.0000, 24.0000, 45.0000, 50.0000, 72.0000,106.0000, 87.0000, 95.0000,125.0000,126.0000,141.0000,150.0000,165.0000,141.0000,135.0000,140.0000,138.0000,133.0000,129.0000,126.0000,122.0000, 95.0000, 80.0000, 97.0000, 79.0000, 83.0000, 93.0000, 52.0000, 48.0000, 46.0000, 35.0000, 40.0000, 27.0000, 29.0000, 23.0000, 22.0000, 21.0000, 13.0000, 14.0000,  8.0000,  7.0000,  8.0000,  4.0000,  2.0000,  3.0000,  1.0000,  2.0000,  2.0000,  1.0000,  7.0000,
---
  4.0000,  8.0000, 23.0000, 21.0000, 37.0000, 60.0000, 46.0000, 49.0000, 57.0000, 65.0000, 63.0000, 80.0000, 85.0000, 69.0000, 62.0000, 69.0000, 66.0000, 71.0000, 59.0000, 65.0000, 61.0000, 47.0000, 44.0000, 54.0000, 47.0000, 43.0000, 46.0000, 22.0000, 19.0000, 24.0000, 14.0000, 13.0000, 19.0000, 16.0000,  9.0000,  8.0000, 15.0000,  8.0000,  6.0000,  2.0000,  6.0000,  7.0000,  2.0000,  0.0000,  2.0000,  1.0000,  1.0000,  1.0000,  0.0000,  4.0000,
---
