Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000, -0.0000,  0.8497,  0.7219,  0.8497,  0.7219,  0.4248,  0.1805
   11,  0.0550, -0.0000, -0.0000,  0.8497,  0.7219,  0.8497,  0.7219,  0.4248,  0.1805
   21,  0.1050, -0.0000, -0.0000,  0.8497,  0.7219,  0.8497,  0.7219,  0.4248,  0.1805
   31,  0.1550, -0.0000, -0.0000,  0.8495,  0.7216,  0.8268,  0.6836,  0.1929,  0.0372
   41,  0.2050,  0.0000, -0.0000,  0.8497,  0.7219,  0.6862,  0.4709, -0.7229,  0.5226
   51,  0.2550,  0.0000, -0.0000,  0.8496,  0.7218,  0.6975,  0.4865, -0.6809,  0.4636
   61,  0.3050,  0.0000, -0.0000,  0.8495,  0.7217,  0.8105,  0.6569,  0.0547,  0.0030
   71,  0.3550,  0.0000, -0.0000,  0.8495,  0.7216,  0.8107,  0.6573,  0.0519,  0.0027
   81,  0.4050,  0.0000,  0.0000,  0.8497,  0.7220,  0.7287,  0.5310, -0.4426,  0.1959
   91,  0.4550,  0.0000, -0.0000,  0.8494,  0.7215,  0.7854,  0.6168, -0.1674,  0.0280
  101,  0.5050,  0.0000, -0.0000,  0.8495,  0.7216,  0.6982,  0.4875, -0.7424,  0.5511
  111,  0.5550,  0.0000,  0.0000,  0.8496,  0.7218,  0.6343,  0.4023, -1.1439,  1.3086
  121,  0.6050,  0.0000,  0.0000,  0.8494,  0.7214,  0.7736,  0.5985, -0.2913,  0.0848
  131,  0.6550,  0.0000,  0.0000,  0.8497,  0.7219,  0.6563,  0.4307, -0.7813,  0.6105
  141,  0.7050,  0.0000,  0.0000,  0.8493,  0.7213,  0.6752,  0.4559, -0.7742,  0.5994
  151,  0.7550,  0.0000,  0.0000,  0.8493,  0.7212,  0.6462,  0.4176, -1.0770,  1.1600
  161,  0.8050,  0.0000,  0.0000,  0.8494,  0.7215,  0.6209,  0.3855, -1.2250,  1.5005
  171,  0.8550,  0.0000,  0.0000,  0.8495,  0.7217,  0.7180,  0.5155, -0.6444,  0.4152
  181,  0.9050,  0.0000,  0.0000,  0.8496,  0.7218,  0.7650,  0.5853, -0.3489,  0.1217
  191,  0.9550,  0.0000,  0.0000,  0.8495,  0.7216,  0.7912,  0.6260, -0.1751,  0.0307
