Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000, -0.0000,  0.9639,  0.9292,  0.9639,  0.9292,  0.4820,  0.2323
   11,  0.0550, -0.0000, -0.0000,  0.9639,  0.9292,  0.9639,  0.9292,  0.4820,  0.2323
   21,  0.1050, -0.0000, -0.0000,  0.9639,  0.9292,  0.9639,  0.9292,  0.4820,  0.2323
   31,  0.1550, -0.0000, -0.0000,  0.9637,  0.9287,  0.9204,  0.8471,  0.1484,  0.0220
   41,  0.2050, -0.0000, -0.0000,  0.9640,  0.9292,  0.8226,  0.6766, -0.4687,  0.2197
   51,  0.2550, -0.0000, -0.0000,  0.9637,  0.9287,  0.8690,  0.7551, -0.3470,  0.1204
   61,  0.3050, -0.0000, -0.0000,  0.9640,  0.9294,  0.8177,  0.6686, -0.6222,  0.3872
   71,  0.3550, -0.0000, -0.0000,  0.9638,  0.9289,  0.9073,  0.8233, -0.0743,  0.0055
   81,  0.4050, -0.0000, -0.0000,  0.9639,  0.9291,  0.8978,  0.8061, -0.1529,  0.0234
   91,  0.4550, -0.0000, -0.0000,  0.9640,  0.9293,  0.8465,  0.7165, -0.4735,  0.2242
  101,  0.5050, -0.0000, -0.0000,  0.9637,  0.9288,  0.8473,  0.7179, -0.5834,  0.3404
  111,  0.5550, -0.0000, -0.0000,  0.9639,  0.9291,  0.7246,  0.5250, -1.3429,  1.8035
  121,  0.6050, -0.0000, -0.0000,  0.9639,  0.9291,  0.6749,  0.4555, -1.6110,  2.5952
  131,  0.6550, -0.0000, -0.0000,  0.9637,  0.9288,  0.7914,  0.6263, -0.9171,  0.8411
  141,  0.7050, -0.0000,  0.0000,  0.9637,  0.9287,  0.8327,  0.6935, -0.6076,  0.3692
  151,  0.7550, -0.0000, -0.0000,  0.9639,  0.9292,  0.7416,  0.5500, -1.0913,  1.1909
  161,  0.8050, -0.0000, -0.0000,  0.9637,  0.9286,  0.7248,  0.5253, -1.3108,  1.7182
  171,  0.8550, -0.0000, -0.0000,  0.9639,  0.9290,  0.7671,  0.5884, -1.0161,  1.0324
  181,  0.9050, -0.0000, -0.0000,  0.9639,  0.9290,  0.9053,  0.8195, -0.1178,  0.0139
  191,  0.9550, -0.0000, -0.0000,  0.9639,  0.9291,  0.9079,  0.8244, -0.0390,  0.0015
